Amostra	Aeq_pal	Ana_orn	Api_spp	Bry_cau	Bry_inp	Bry_mel	Cal_cal	Cop_nig	Cre_inp	Cre_sem	Ery_ery	Gla_mac	Gym_cor	Hel_mar	Hem_sch	Hop_mal	Hyp_me1	Hyp_eri	Hyp_sp.	Igu_var	Lai_dib	Pyr_bre	Syn_mar
AB_R	4	0	38	1	4	0	0	0	0	0	0	8	0	8	0	0	0	0	0	3	8	25	0
ABC_R	0	1	38	0	1	0	0	13	0	0	13	0	0	3	0	6	0	0	0	0	51	51	0
SC_R	1	3	21	0	7	0	4	0	0	0	0	0	13	8	6	0	1	0	0	1	149	29	0
SMB_R	0	0	71	7	7	0	8	21	0	0	0	0	4	25	0	0	0	0	0	1	133	74	0
SMB_R2	0	0	66	0	3	0	0	5	0	0	0	0	3	34	0	0	0	0	0	3	57	72	3
SA_S1	0	0	54	0	4	0	0	6	0	3	0	0	3	9	0	3	0	14	0	0	215	0	0
SA_S2	0	0	17	0	2	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	21	39	0
AA_S	0	0	80	0	3	14	0	71	0	0	0	0	6	6	0	0	0	0	0	0	80	41	0
SS_S	2	0	83	0	2	0	0	0	0	0	0	0	23	0	0	0	0	0	30	4	40	57	0
