Stream	Temperature	O2	pH	Conductivity	Turbidity	Av.Widht	Max.Depth	Av.Depth	Streamflow	WaterVelocity	CanopyCover	Subs.SandGravel	Subs.Leaves	Subs.TrBr	Subs.Vegetation
AB_R	25.20	6.05	4.86	9.65	1.75	1.48	0.57	0.48	0.17	0.24	92.80	74.19	8.87	5.65	11.29
ABC_R	26.10	4.75	4.67	11.37	1.35	2.30	0.22	0.11	0.05	0.17	91.20	50.39	28.68	12.40	8.53
SC_R	25.30	6.11	4.77	10.43	1.17	1.62	0.27	0.15	0.06	0.24	85.60	80.00	15.20	4.00	0.80
SMB_R	25.80	6.22	4.74	11.23	0.61	2.65	0.34	0.15	0.25	0.60	86.40	60.80	20.00	12.00	7.20
SMB_R2	25.30	6.02	4.75	10.77	0.92	2.39	0.24	0.13	0.10	0.31	96.80	30.95	57.14	6.35	5.56
SA_S1	25.50	5.75	4.77	10.54	0.87	1.70	0.40	0.21	0.08	0.21	84.00	86.40	7.20	5.60	0.80
SA_S2	26.50	6.52	4.97	9.81	2.65	1.50	1.00	0.42	0.15	0.26	93.60	71.20	8.00	12.80	8.00
AA_S	25.70	7.15	4.93	10.22	2.30	3.70	0.46	0.27	0.48	0.47	96.00	92.80	4.00	0.00	3.20
SS_S	25.70	6.33	4.79	11.72	3.20	4.00	0.30	0.12	0.31	0.65	19.20	99.20	0.00	0.00	0.80
