"S" "H" "J" "D"
"AB_R" 9 1.73660511835088 0.790363049941956 0.765023977145189
"ABC_R" 9 1.67327083097577 0.761538373562315 0.775575345526509
"SC_R" 12 1.41747557503869 0.570434134883749 0.596453792612915
"SMB_R" 10 1.68586359982164 0.732161258644088 0.76095161565247
"SMB_R2" 9 1.61907994783234 0.736875039780963 0.768557075814661
"SA_S1" 9 1.06777560275667 0.485965619432116 0.488249707922788
"SA_S2" 6 1.39171097508811 0.776728684284675 0.697846479059321
"AA_S" 8 1.66134700672899 0.798939029267879 0.781470403196433
"SS_S" 8 1.63731591497946 0.787382516969812 0.772886141767532
