"FRic" "FDiv" "FEve" "FDis" "FSpe" "FOri" "Rao" "FRedundancy" "FGR"
"AB_R" 0.153872 0.736185 0.764115 0.517412905716163 0.442081227985726 0.34544260941349 0.432200549857726 0.332823427287463 6
"ABC_R" 0.201737 0.6741 0.583614 0.433825995218266 0.439476972496581 0.271429868040535 0.36281601062599 0.412759334900519 6
"SC_R" 0.574869 0.882165 0.553933 0.483018463771538 0.553351886023577 0.247237016729067 0.348328695815078 0.248125096797837 8
"SMB_R" 0.385558 0.741763 0.500791 0.4994074346332 0.484349145115693 0.262570029828465 0.396434866571745 0.364516749080726 7
"SMB_R2" 0.446596 0.587068 0.284817 0.515174702538162 0.457108914886846 0.304680247688474 0.416516663837434 0.352040411977226 7
"SA_S1" 0.555112 0.865289 0.591643 0.373751666772719 0.54173517897598 0.227564557282223 0.265384157897768 0.22286555002502 8
"SA_S2" 0.131447 0.625012 0.741646 0.404513035350351 0.424944960309469 0.243919530894934 0.33337694525189 0.364469533807431 5
"AA_S" 0.414736 0.669313 0.40888 0.482997649336837 0.47267071960463 0.285104678882899 0.380566941775607 0.400903461420826 6
"SS_S" 0.295547 0.725009 0.582502 0.605644933207288 0.497310826019282 0.360136281570789 0.455546507315513 0.317339634452018 5
