"FIde_PC1" "FIde_PC2" "FIde_PC3"
"AB_R" 0.0725959655726186 0.0571167104881295 -0.0133656904164526
"ABC_R" 0.0458257789772258 0.13517253775298 -0.0138296839982418
"SC_R" 0.0618890307035371 0.1574266460627 -0.0254881028221417
"SMB_R" 0.0508104699814941 0.125421615607933 -0.0201148954264525
"SMB_R2" 0.0642208904408236 0.0917504288189999 -0.0234260438879773
"SA_S1" 0.072221692973598 0.180436385633513 -0.0074401857761397
"SA_S2" 0.011665052864244 0.133745681036022 -0.0260015077866801
"AA_S" 0.0282411391703225 0.128541961028873 -0.0273464518419117
"SS_S" 0.0438738249773841 0.0626736280435146 -0.0594488316315067
